Secteur d'activité;Année;Trimestre;Dernier jour du trimestre;Immatriculations;Radiations;Economiquement actifs;Administrativement actifs;Chiffres d'affaires
HZ4 - Autres activités de transports et entreposage;2011;2;2011-06-30;314.0;196.0;742.0;1816.0;2618557.0
HZ2 - Transports routier de fret et déménagement;2011;3;2011-09-30;140.0;137.0;487.0;1242.0;1773548.0
KZ - Activités financières et d'assurance;2011;3;2011-09-30;403.0;324.0;1704.0;3787.0;6572359.0
HZ2 - Transports routier de fret et déménagement;2011;4;2011-12-31;161.0;157.0;481.0;1246.0;1826632.0
N2 - Autres activités de service administratif et de soutien;2011;4;2011-12-31;3293.0;3486.0;16432.0;32504.0;56299000.0
F1 - BTP gros-oeuvre;2012;1;2012-03-31;4549.0;2437.0;15139.0;32259.0;63468065.0
IZ2 - Restauration et débits de boissons;2012;1;2012-03-31;2411.0;1381.0;8099.0;17780.0;36525295.0
M3 - Conseil pour les affaires et autres conseils de gestion;2012;1;2012-03-31;4797.0;2916.0;17291.0;39057.0;83877242.0
N2 - Autres activités de service administratif et de soutien;2012;1;2012-03-31;4507.0;2763.0;16351.0;34248.0;52267393.0
S3 - Autres services personnels;2012;2;2012-06-30;3065.0;2410.0;18756.0;33125.0;47922960.0
HZ4 - Autres activités de transports et entreposage;2012;3;2012-09-30;364.0;217.0;1100.0;2684.0;3730656.0
M1 - Activités juridiques;2012;3;2012-09-30;115.0;54.0;717.0;1258.0;3840829.0
G5 - Commerce de détail sur marchés non classé ailleurs;2012;4;2012-12-31;2386.0;3273.0;23466.0;40701.0;56367391.0
KZ - Activités financières et d'assurance;2012;4;2012-12-31;600.0;687.0;2124.0;4101.0;8918656.0
N2 - Autres activités de service administratif et de soutien;2012;4;2012-12-31;3325.0;4424.0;19109.0;34643.0;62996605.0
M5 - Autres activités scientifiques et techniques;2013;1;2013-03-31;4745.0;2137.0;20414.0;40993.0;63801614.0
N2 - Autres activités de service administratif et de soutien;2013;1;2013-03-31;4113.0;2384.0;19056.0;36372.0;57103468.0
KZ - Activités financières et d'assurance;2013;2;2013-06-30;578.0;420.0;2208.0;4561.0;8514661.0
AZ - Agriculture, sylviculture et pêche;2013;3;2013-09-30;135.0;76.0;1318.0;1912.0;4470116.0
HZ2 - Transports routier de fret et déménagement;2013;3;2013-09-30;143.0;128.0;646.0;1413.0;2006393.0
PZ - Enseignement;2013;3;2013-09-30;4565.0;2461.0;29416.0;51380.0;68808012.0
R2 - Activités sportives;2013;3;2013-09-30;2503.0;1134.0;14602.0;22423.0;35694216.0
CZ2 - Métiers de bouche;2013;4;2013-12-31;1359.0;1314.0;8895.0;15473.0;31406989.0
G2 - Commerce de gros, intermédiaires du commerce;2013;4;2013-12-31;2206.0;2865.0;10592.0;22012.0;50644260.0
CZ1 - Industrie;2014;1;2014-03-31;4849.0;1817.0;30360.0;50229.0;76602894.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2014;1;2014-03-31;329.0;184.0;1398.0;2626.0;5615282.0
JZ - Informatique, information et communication;2014;1;2014-03-31;4206.0;2621.0;19558.0;41924.0;61834339.0
QZ - Santé;2014;2;2014-06-30;2712.0;1399.0;31271.0;41134.0;78466301.0
M5 - Autres activités scientifiques et techniques;2014;4;2014-12-31;3975.0;5271.0;26289.0;46661.0;88495975.0
CZ1 - Industrie;2015;1;2015-03-31;4207.0;1561.0;32853.0;55087.0;81932922.0
R2 - Activités sportives;2015;1;2015-03-31;2254.0;668.0;17894.0;27656.0;47100024.0
IZ2 - Restauration et débits de boissons;2015;2;2015-06-30;2794.0;1257.0;14870.0;26537.0;69854238.0
JZ - Informatique, information et communication;2015;2;2015-06-30;3058.0;1802.0;20725.0;44328.0;67460823.0
F2 - BTP travaux d'installation;2015;3;2015-09-30;1865.0;1206.0;20300.0;36286.0;99045457.0
IZ1 - Hébergement;2015;3;2015-09-30;285.0;171.0;5207.0;6039.0;42450311.0
JZ - Informatique, information et communication;2015;3;2015-09-30;3099.0;1999.0;20577.0;45428.0;63732925.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2016;1;2016-03-31;2912.0;1066.0;15022.0;28597.0;48411353.0
N1 - Activités de nettoyage;2016;1;2016-03-31;2826.0;839.0;17497.0;29077.0;47684912.0
S3 - Autres services personnels;2016;1;2016-03-31;3619.0;1333.0;25395.0;39799.0;60454297.0
M5 - Autres activités scientifiques et techniques;2016;2;2016-06-30;3893.0;1691.0;29298.0;54145.0;97102337.0
N1 - Activités de nettoyage;2017;1;2017-03-31;3172.0;817.0;20027.0;31989.0;57142309.0
S3 - Autres services personnels;2017;1;2017-03-31;4135.0;1207.0;27853.0;43153.0;69100715.0
S2 - Coiffure et soins du corps;2018;1;2018-03-31;4056.0;1219.0;43446.0;54246.0;114922539.0
HZ2 - Transports routier de fret et déménagement;2018;2;2018-06-30;392.0;154.0;1206.0;2928.0;3855380.0
IZ2 - Restauration et débits de boissons;2018;2;2018-06-30;4037.0;1382.0;19309.0;34707.0;105570028.0
UZ - Autres;2018;2;2018-06-30;7.0;3.0;37.0;56.0;113554.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2018;3;2018-09-30;2582.0;1646.0;27944.0;45969.0;128156230.0
IZ1 - Hébergement;2018;3;2018-09-30;425.0;219.0;7090.0;8312.0;65152136.0
R1 - Arts, spectacles et autres activités récréatives;2018;3;2018-09-30;5627.0;2106.0;40840.0;75413.0;111228864.0
F1 - BTP gros-oeuvre;2018;4;2018-12-31;2491.0;5394.0;31331.0;48114.0;201976819.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2018;4;2018-12-31;2861.0;5434.0;27399.0;43396.0;118722154.0
M1 - Activités juridiques;2018;4;2018-12-31;62.0;187.0;973.0;1245.0;7322060.0
M2 - Activités comptables, de conseil et d'ingénierie;2018;4;2018-12-31;4509.0;6401.0;28028.0;47186.0;148564248.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2019;1;2019-03-31;394.0;164.0;1964.0;3472.0;9303936.0
LZ - Activités immobilières;2019;1;2019-03-31;4604.0;1244.0;13354.0;30679.0;90954364.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2019;2;2019-06-30;468.0;174.0;2248.0;3766.0;12816066.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2019;2;2019-06-30;3017.0;921.0;22432.0;40636.0;94850719.0
S3 - Autres services personnels;2019;2;2019-06-30;6166.0;1657.0;42291.0;65010.0;119250416.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2019;3;2019-09-30;3115.0;992.0;22766.0;42759.0;91173330.0
CZ2 - Métiers de bouche;2019;4;2019-12-31;1587.0;2205.0;14233.0;22594.0;66754526.0
PZ - Enseignement;2019;4;2019-12-31;7193.0;7116.0;62772.0;92971.0;231945292.0
AZ - Agriculture, sylviculture et pêche;2020;1;2020-03-31;182.0;38.0;1770.0;2858.0;5794636.0
F3 - BTP travaux de finition;2020;1;2020-03-31;6712.0;1430.0;53345.0;92550.0;290052558.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2020;2;2020-06-30;2256.0;1052.0;25955.0;52485.0;96899554.0
KZ - Activités financières et d'assurance;2020;2;2020-06-30;788.0;275.0;4806.0;10732.0;24697144.0
IZ1 - Hébergement;2020;3;2020-09-30;567.0;240.0;8342.0;10777.0;78529289.0
M5 - Autres activités scientifiques et techniques;2020;3;2020-09-30;5998.0;1797.0;43303.0;87750.0;170488822.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2020;4;2020-12-31;2554.0;5450.0;30454.0;51203.0;152466410.0
QZ - Santé;2020;4;2020-12-31;4894.0;6847.0;70302.0;90148.0;250046287.0
F2 - BTP travaux d'installation;2021;1;2021-03-31;5654.0;1324.0;36379.0;58249.0;265913999.0
CZ1 - Industrie;2021;2;2021-06-30;8163.0;1692.0;70638.0;115105.0;243066122.0
CZ2 - Métiers de bouche;2021;2;2021-06-30;1999.0;594.0;16054.0;27566.0;74503731.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2021;4;2021-12-31;2303.0;6740.0;33452.0;51650.0;189128080.0
HZ2 - Transports routier de fret et déménagement;2021;4;2021-12-31;743.0;1078.0;2741.0;6371.0;10152457.0
F3 - BTP travaux de finition;2022;1;2022-03-31;7295.0;1957.0;69702.0;109115.0;461129434.0
G6 - Commerce de détail non spécialisé;2022;1;2022-03-31;7904.0;2692.0;34133.0;78210.0;139430627.0
LZ - Activités immobilières;2022;1;2022-03-31;7107.0;2035.0;24126.0;59436.0;207378142.0
S1 - Réparations hors automobile;2022;1;2022-03-31;1805.0;570.0;21836.0;33740.0;78759225.0
PZ - Enseignement;2022;2;2022-06-30;6621.0;2806.0;82175.0;130706.0;313673375.0
G5 - Commerce de détail sur marchés non classé ailleurs;2022;3;2022-09-30;1344.0;698.0;33600.0;51397.0;120663641.0
LZ - Activités immobilières;2022;3;2022-09-30;4621.0;2033.0;26816.0;64677.0;263659724.0
LZ - Activités immobilières;2022;4;2022-12-31;4667.0;7772.0359922;27217.0;61572.0;255733080.0
QZ - Santé;2023;1;2023-03-31;7095.0;1885.0;82498.0;112202.0;355408276.0
R2 - Activités sportives;2023;1;2023-03-31;4212.0;716.0;41492.0;64237.0;153755813.0
F1 - BTP gros-oeuvre;2023;2;2023-06-30;4206.0;1316.0;46829.0;80683.0;349621213.0
G5 - Commerce de détail sur marchés non classé ailleurs;2023;2;2023-06-30;2132.0;588.0;33166.0;51483.0;111048311.0
G6 - Commerce de détail non spécialisé;2023;2;2023-06-30;8692.0;2820.0;38625.0;92488.0;164921949.0
G2 - Commerce de gros, intermédiaires du commerce;2023;3;2023-09-30;2770.0;1715.0;29051.0;69823.0;202397602.0
M2 - Activités comptables, de conseil et d'ingénierie;2024;1;2024-03-31;8301.0;2315.0;47743.0;102574.0;296939667.0
F2 - BTP travaux d'installation;2024;2;2024-06-30;4052.0;1467.0;43870.0;76928.0;352558433.0
G5 - Commerce de détail sur marchés non classé ailleurs;2024;2;2024-06-30;2209.0;559.0;33336.0;53057.0;111907048.0
HZ1 - Taxis - VTC;2024;3;2024-09-30;2644.0;861.0;16190.0;33779.0;73230611.0
G2 - Commerce de gros, intermédiaires du commerce;2009;1;2009-03-31;2305.0;47.0;460.0;2259.0;2161454.0
HZ1 - Taxis - VTC;2009;1;2009-03-31;96.0;2.0;28.0;95.0;118774.0
PZ - Enseignement;2009;1;2009-03-31;3222.0;15.0;366.0;3207.0;986447.0
CZ2 - Métiers de bouche;2009;2;2009-06-30;1871.0;100.0;1179.0;3335.0;5672131.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2009;2;2009-06-30;332.0;3.0;225.0;608.0;1182669.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2009;2;2009-06-30;4600.0;214.0;3575.0;9253.0;16933421.0
HZ2 - Transports routier de fret et déménagement;2009;2;2009-06-30;221.0;12.0;91.0;356.0;329291.0
IZ1 - Hébergement;2009;2;2009-06-30;462.0;11.0;930.0;1409.0;5510971.0
KZ - Activités financières et d'assurance;2009;2;2009-06-30;557.0;41.0;309.0;1089.0;1186720.0
S2 - Coiffure et soins du corps;2009;2;2009-06-30;3363.0;132.0;3500.0;7154.0;10601678.0
G2 - Commerce de gros, intermédiaires du commerce;2009;3;2009-09-30;1959.0;225.0;1918.0;6133.0;8571930.0
LZ - Activités immobilières;2009;3;2009-09-30;674.0;89.0;1025.0;2531.0;5787219.0
M1 - Activités juridiques;2009;3;2009-09-30;83.0;3.0;442.0;658.0;2045211.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2009;3;2009-09-30;2934.0;176.0;2559.0;8052.0;7478084.0
AZ - Agriculture, sylviculture et pêche;2009;4;2009-12-31;167.0;28.0;353.0;712.0;972084.0
G2 - Commerce de gros, intermédiaires du commerce;2009;4;2009-12-31;2253.0;517.0;2653.0;7869.0;12489216.0
N1 - Activités de nettoyage;2009;4;2009-12-31;1734.0;256.0;2316.0;5777.0;5966682.0
QZ - Santé;2009;4;2009-12-31;2212.0;300.0;4446.0;7835.0;8819065.0
F1 - BTP gros-oeuvre;2010;1;2010-03-31;6350.0;465.0;6598.0;17529.0;24646161.0
IZ1 - Hébergement;2010;1;2010-03-31;593.0;29.0;1366.0;2329.0;3711222.0
LZ - Activités immobilières;2010;1;2010-03-31;1720.0;204.0;1782.0;4759.0;7813889.0
S2 - Coiffure et soins du corps;2010;1;2010-03-31;7742.0;746.0;13546.0;21251.0;30208609.0
UZ - Autres;2010;1;2010-03-31;25.0;0.0;36.0;104.0;170381.0
HZ1 - Taxis - VTC;2010;2;2010-06-30;178.0;29.0;337.0;851.0;1133168.0
M4 - Activités spécialisées de design, graphisme et d'infographie;2010;2;2010-06-30;2935.0;456.0;6332.0;17000.0;20745729.0
N1 - Activités de nettoyage;2010;2;2010-06-30;2085.0;303.0;4643.0;10351.0;12351727.0
F1 - BTP gros-oeuvre;2010;3;2010-09-30;3156.0;645.0;9618.0;23732.0;42763207.0
M2 - Activités comptables, de conseil et d'ingénierie;2010;3;2010-09-30;2488.0;524.0;8172.0;18966.0;34859168.0
S1 - Réparations hors automobile;2010;3;2010-09-30;2059.0;566.0;8337.0;17593.0;20021942.0
AZ - Agriculture, sylviculture et pêche;2010;4;2010-12-31;129.0;86.0;664.0;1260.0;2057381.0
F3 - BTP travaux de finition;2010;4;2010-12-31;5313.0;2573.0;16838.0;39339.0;81494970.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2010;4;2010-12-31;244.0;190.0;868.0;1863.0;4575016.0
HZ3 - Activités de poste et de courrier;2010;4;2010-12-31;142.0;82.0;206.0;741.0;644194.0
AZ - Agriculture, sylviculture et pêche;2011;1;2011-03-31;212.0;45.0;730.0;1427.0;2027999.0
G2 - Commerce de gros, intermédiaires du commerce;2011;1;2011-03-31;3107.0;1366.0;6238.0;17274.0;29645826.0
HZ2 - Transports routier de fret et déménagement;2011;1;2011-03-31;189.0;127.0;425.0;1273.0;1458992.0
HZ4 - Autres activités de transports et entreposage;2011;1;2011-03-31;261.0;123.0;590.0;1698.0;1989177.0
IZ2 - Restauration et débits de boissons;2011;1;2011-03-31;2262.0;888.0;6652.0;15583.0;30957480.0
JZ - Informatique, information et communication;2011;1;2011-03-31;4137.0;2281.0;12977.0;33809.0;44725013.0
G5 - Commerce de détail sur marchés non classé ailleurs;2011;2;2011-06-30;3915.0;2880.0;20832.0;36835.0;48746883.0
IZ2 - Restauration et débits de boissons;2011;2;2011-06-30;2480.0;1601.0;8170.0;16462.0;44679859.0
M3 - Conseil pour les affaires et autres conseils de gestion;2011;2;2011-06-30;3894.0;3180.0;16526.0;38284.0;80603883.0
QZ - Santé;2011;2;2011-06-30;2092.0;999.0;14140.0;20605.0;34608480.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2011;3;2011-09-30;2746.0;2515.0;16453.0;31414.0;70908395.0
G6 - Commerce de détail non spécialisé;2011;3;2011-09-30;3286.0;3237.0;13355.0;31661.0;43662990.0
HZ1 - Taxis - VTC;2011;3;2011-09-30;160.0;99.0;578.0;1336.0;1982811.0
IZ1 - Hébergement;2011;3;2011-09-30;273.0;127.0;2959.0;3643.0;22485338.0
S1 - Réparations hors automobile;2011;3;2011-09-30;1369.0;1404.0;10799.0;20201.0;28149331.0
HZ1 - Taxis - VTC;2011;4;2011-12-31;202.0;128.0;621.0;1410.0;2202852.0
IZ2 - Restauration et débits de boissons;2011;4;2011-12-31;1603.0;1638.0;8003.0;16750.0;38489398.0
M2 - Activités comptables, de conseil et d'ingénierie;2011;4;2011-12-31;2872.0;2589.0;12378.0;23938.0;57675061.0
N1 - Activités de nettoyage;2011;4;2011-12-31;1680.0;1180.0;8282.0;15728.0;24944333.0
UZ - Autres;2011;4;2011-12-31;8.0;13.0;58.0;102.0;171089.0
S1 - Réparations hors automobile;2012;1;2012-03-31;2230.0;1565.0;11561.0;20596.0;30954776.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2012;2;2012-06-30;283.0;209.0;1163.0;2140.0;5604855.0
CZ2 - Métiers de bouche;2012;3;2012-09-30;1146.0;934.0;8019.0;14218.0;34464558.0
HZ4 - Autres activités de transports et entreposage;2012;4;2012-12-31;385.0;351.0;1075.0;2718.0;3439300.0
M3 - Conseil pour les affaires et autres conseils de gestion;2012;4;2012-12-31;3144.0;5607.0;19646.0;37289.0;93118720.0
R2 - Activités sportives;2012;4;2012-12-31;1725.0;1462.0;12267.0;19070.0;33857227.0
M2 - Activités comptables, de conseil et d'ingénierie;2013;1;2013-03-31;3723.0;1665.0;14841.0;29532.0;60816823.0
R1 - Arts, spectacles et autres activités récréatives;2013;1;2013-03-31;4384.0;2069.0;21257.0;44229.0;45767995.0
R2 - Activités sportives;2013;1;2013-03-31;1972.0;729.0;12961.0;20313.0;34423078.0
S2 - Coiffure et soins du corps;2013;1;2013-03-31;4296.0;2185.0;32800.0;45206.0;71833228.0
G2 - Commerce de gros, intermédiaires du commerce;2013;2;2013-06-30;2603.0;2000.0;9859.0;22355.0;43992952.0
HZ3 - Activités de poste et de courrier;2013;2;2013-06-30;132.0;138.0;380.0;1018.0;1124665.0
M3 - Conseil pour les affaires et autres conseils de gestion;2013;2;2013-06-30;3297.0;2742.0;20013.0;39749.0;87983442.0
PZ - Enseignement;2013;2;2013-06-30;3046.0;2471.0;32181.0;49276.0;96725518.0
S1 - Réparations hors automobile;2013;2;2013-06-30;1453.0;1326.0;13843.0;21264.0;37058225.0
CZ2 - Métiers de bouche;2013;3;2013-09-30;1208.0;1073.0;9351.0;15428.0;37115137.0
G1 - Commerce-réparation d'automobiles;2013;3;2013-09-30;2135.0;1583.0;10327.0;21334.0;41449633.0
M1 - Activités juridiques;2013;3;2013-09-30;93.0;46.0;783.0;1339.0;4255988.0
F3 - BTP travaux de finition;2013;4;2013-12-31;4714.0;5297.0;34970.0;62341.0;160014777.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2013;4;2013-12-31;3067.0;3472.0;21197.0;37081.0;77478398.0
G5 - Commerce de détail sur marchés non classé ailleurs;2013;4;2013-12-31;2386.0;2875.0;25844.0;43343.0;58907300.0
HZ2 - Transports routier de fret et déménagement;2013;4;2013-12-31;177.0;163.0;660.0;1427.0;2089851.0
HZ4 - Autres activités de transports et entreposage;2013;4;2013-12-31;460.0;396.0;1388.0;3482.0;4167576.0
M2 - Activités comptables, de conseil et d'ingénierie;2013;4;2013-12-31;2917.0;3319.0;16974.0;30987.0;73276168.0
QZ - Santé;2013;4;2013-12-31;3029.0;2680.0;28622.0;36854.0;70546546.0
R1 - Arts, spectacles et autres activités récréatives;2013;4;2013-12-31;3455.0;3543.0;24873.0;46555.0;57545729.0
CZ2 - Métiers de bouche;2014;1;2014-03-31;1581.0;828.0;8564.0;16226.0;25296206.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2014;1;2014-03-31;3862.0;2287.0;20845.0;38656.0;61599071.0
G1 - Commerce-réparation d'automobiles;2014;2;2014-06-30;2741.0;2051.0;11419.0;23640.0;45470586.0
G5 - Commerce de détail sur marchés non classé ailleurs;2014;2;2014-06-30;3702.0;2556.0;29228.0;46443.0;60298591.0
G6 - Commerce de détail non spécialisé;2014;2;2014-06-30;2864.0;3118.0;17361.0;33153.0;55191271.0
HZ4 - Autres activités de transports et entreposage;2014;2;2014-06-30;422.0;318.0;1574.0;3808.0;4875290.0
IZ2 - Restauration et débits de boissons;2014;2;2014-06-30;3302.0;1894.0;13456.0;23725.0;62368716.0
M2 - Activités comptables, de conseil et d'ingénierie;2014;2;2014-06-30;2745.0;2136.0;17102.0;33240.0;69461582.0
M3 - Conseil pour les affaires et autres conseils de gestion;2014;2;2014-06-30;4143.0;2970.0;21683.0;43734.0;93899710.0
M5 - Autres activités scientifiques et techniques;2014;2;2014-06-30;3843.0;2791.0;24871.0;46985.0;78449349.0
N2 - Autres activités de service administratif et de soutien;2014;2;2014-06-30;3053.0;2722.0;21938.0;38365.0;69957231.0
R1 - Arts, spectacles et autres activités récréatives;2014;2;2014-06-30;3760.0;2727.0;26865.0;49612.0;59939230.0
R2 - Activités sportives;2014;2;2014-06-30;1598.0;1093.0;16616.0;24459.0;42392559.0
S3 - Autres services personnels;2014;2;2014-06-30;2734.0;2246.0;23246.0;36630.0;57062820.0
F1 - BTP gros-oeuvre;2014;3;2014-09-30;2791.0;2194.0;22718.0;42487.0;92596481.0
HZ4 - Autres activités de transports et entreposage;2014;3;2014-09-30;405.0;354.0;1637.0;3859.0;4818985.0
M2 - Activités comptables, de conseil et d'ingénierie;2014;3;2014-09-30;2706.0;2021.0;17142.0;33925.0;63989110.0
S2 - Coiffure et soins du corps;2014;3;2014-09-30;2583.0;2411.0;36930.0;49096.0;85477417.0
N1 - Activités de nettoyage;2014;4;2014-12-31;2032.0;2154.0;15292.0;25203.0;43694823.0
F3 - BTP travaux de finition;2015;1;2015-03-31;5795.0;2170.0;38338.0;71306.0;154711987.0
HZ3 - Activités de poste et de courrier;2015;1;2015-03-31;366.0;116.0;578.0;1834.0;1395503.0
M1 - Activités juridiques;2015;1;2015-03-31;152.0;48.0;780.0;1368.0;3374941.0
M5 - Autres activités scientifiques et techniques;2015;1;2015-03-31;5207.0;1796.0;25348.0;50072.0;78780697.0
N1 - Activités de nettoyage;2015;1;2015-03-31;2454.0;970.0;15383.0;26687.0;40395354.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2015;2;2015-06-30;3392.0;1753.0;24443.0;42432.0;86610463.0
G6 - Commerce de détail non spécialisé;2015;2;2015-06-30;2329.0;1623.0;17426.0;33380.0;58109435.0
R2 - Activités sportives;2015;2;2015-06-30;1379.0;731.0;18975.0;28304.0;48530039.0
M5 - Autres activités scientifiques et techniques;2015;3;2015-09-30;3273.0;1885.0;27454.0;53313.0;87851035.0
N2 - Autres activités de service administratif et de soutien;2015;3;2015-09-30;2355.0;1688.0;22943.0;40548.0;72822559.0
F1 - BTP gros-oeuvre;2015;4;2015-12-31;2152.0;7165.0;24267.0;41999.0;115538656.0
F2 - BTP travaux d'installation;2015;4;2015-12-31;1817.0;5611.0;20872.0;32492.0;118054857.0
G5 - Commerce de détail sur marchés non classé ailleurs;2015;4;2015-12-31;1902.0;6310.0;29146.0;45895.0;67822735.0
CZ2 - Métiers de bouche;2016;1;2016-03-31;1615.0;653.0;10208.0;18750.0;30270594.0
F3 - BTP travaux de finition;2016;1;2016-03-31;5440.0;1967.0;40793.0;70965.0;176215115.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2016;1;2016-03-31;3588.0;1627.0;22449.0;40553.0;67827726.0
JZ - Informatique, information et communication;2016;1;2016-03-31;4672.0;1863.0;21145.0;42834.0;71902926.0
N2 - Autres activités de service administratif et de soutien;2016;1;2016-03-31;3555.0;1455.0;22012.0;37983.0;68020649.0
F3 - BTP travaux de finition;2016;2;2016-06-30;4372.0;1767.0;43162.0;73570.0;206321484.0
G5 - Commerce de détail sur marchés non classé ailleurs;2016;2;2016-06-30;2779.0;1161.0;31410.0;49587.0;63913047.0
KZ - Activités financières et d'assurance;2016;2;2016-06-30;590.0;292.0;2965.0;5869.0;12165925.0
R1 - Arts, spectacles et autres activités récréatives;2016;2;2016-06-30;4092.0;1600.0;33187.0;59461.0;80469517.0
F1 - BTP gros-oeuvre;2016;3;2016-09-30;2240.0;1138.0;25633.0;47338.0;112323480.0
PZ - Enseignement;2016;3;2016-09-30;5042.0;2230.0;39419.0;68008.0;91479627.0
R1 - Arts, spectacles et autres activités récréatives;2016;3;2016-09-30;4255.0;1875.0;32850.0;61841.0;77440095.0
G3 - Commerce de détail alimentaire hors métiers de bouche;2016;4;2016-12-31;226.0;504.0;1733.0;2791.0;8870409.0
IZ1 - Hébergement;2016;4;2016-12-31;217.0;448.0;4677.0;6379.0;15837296.0
M5 - Autres activités scientifiques et techniques;2016;4;2016-12-31;3480.0;8272.0;31416.0;51016.0;111020333.0
G1 - Commerce-réparation d'automobiles;2017;1;2017-03-31;3184.0;1189.0;13799.0;27790.0;55607876.0
G6 - Commerce de détail non spécialisé;2017;1;2017-03-31;3307.0;1257.0;17235.0;31284.0;60517456.0
HZ4 - Autres activités de transports et entreposage;2017;1;2017-03-31;367.0;158.0;1430.0;3766.0;4082127.0
G6 - Commerce de détail non spécialisé;2017;2;2017-06-30;2647.0;1331.0;17890.0;32600.0;64362958.0
JZ - Informatique, information et communication;2017;2;2017-06-30;3454.0;1684.0;22580.0;46550.0;80394497.0
PZ - Enseignement;2017;2;2017-06-30;3372.0;2076.0;46513.0;70542.0;141457312.0
F3 - BTP travaux de finition;2017;3;2017-09-30;3206.0;1580.0;44840.0;75407.0;215549065.0
IZ1 - Hébergement;2017;4;2017-12-31;235.0;474.0;5236.0;7120.0;18355301.0
AZ - Agriculture, sylviculture et pêche;2018;1;2018-03-31;188.0;56.0;1637.0;2506.0;5184135.0
G1 - Commerce-réparation d'automobiles;2018;1;2018-03-31;3558.0;1165.0;15073.0;30112.0;67114591.0
